subject,difficulty,topic,question,option_1,option_2,option_3,option_4,answer,hint
undertale,hard,Геймплей,Почему нельзя пощадить Санса в бою?,Кнопка SPARE никогда не становится желтой,Он слишком сильный,Он отказывается,Игра блокирует это действие,Кнопка SPARE никогда не становится желтой,Это единственный персонаж в геноциде кого нельзя пощадить стандартным способом
undertale,hard,Секреты,Что происходит если ввести имя Гастер при создании персонажа?,Игра сбрасывается в главное меню,Открывается секретный уровень,Появляется Гастер,Ничего не происходит,Игра сбрасывается в главное меню,Это одна из немногих реакций игры на конкретное имя персонажа
undertale,hard,Персонажи,Что означают руки-символы Гастера Wing Dings?,Это реальный шрифт Wingdings который можно расшифровать,Это случайные символы,Это язык монстров,Это математические формулы,Это реальный шрифт Wingdings который можно расшифровать,Фанаты расшифровали его речь и нашли загадочные фразы
undertale,hard,Мир игры,Почему монстры рассыпаются в пыль после смерти а не оставляют тела?,Их тела состоят из магии и рассеиваются,Это игровая условность,Так устроен мир монстров,Тела забирает барьер,Их тела состоят из магии и рассеиваются,Именно поэтому душа монстра намного слабее человеческой
undertale,hard,Теории,Что связывает Санса с W.D. Gaster согласно намёкам в игре?,Гастер может быть отцом Санса и Папируса,Они враги,Санс это Гастер в другом теле,Гастер создал Санса,Гастер может быть отцом Санса и Папируса,Книга по науке в доме Санса и другие детали намекают на эту связь
undertale,hard,Геймплей,Сколько раз нужно убить Санса чтобы он наконец упал?,1 но он засыпает между атаками,5,3,10,1 но он засыпает между атаками,Главная механика боя с Сансом это его усталость и сон
undertale,hard,Секреты,Что находится в файле Undertale который называется flowey_friendshiptext?,Скрытые диалоги Флауи о прошлых прохождениях,Пасхалки разработчиков,Список всех убийств,Секретная концовка,Скрытые диалоги Флауи о прошлых прохождениях,Флауи знает о твоих предыдущих прохождениях и упоминает их
undertale,hard,Персонажи,Почему Чара ненавидела людей?,Причина намеренно не раскрыта в игре,Люди убили её семью,Она была злой от природы,Монстры промыли ей мозги,Причина намеренно не раскрыта в игре,Тоби Фокс специально оставил прошлое Чары тайной для игроков
undertale,hard,Мир игры,Что произошло с предыдущими шестью людьми попавшими в подземелье?,Их души были собраны Асгором после смерти,Они вернулись домой,Они стали монстрами,Их поглотил барьер,Их души были собраны Асгором после смерти,Их одежду и вещи можно найти в разных локациях игры
deltarune,easy,Персонажи,Как зовут главного героя Deltarune?,Крис,Фриск,Сьюзи,Ралсей,Крис,Этот персонаж живет в городе Hometown и ходит в школу
deltarune,easy,Персонажи,Кто является напарником Криса в Темном мире?,Сьюзи,Ралсей,Ноэль,Бердли,Сьюзи,Это фиолетовое существо с большими зубами которое поначалу пугает всех
deltarune,easy,Мир игры,Как называется темный мир в первой главе Deltarune?,Темный мир библиотеки,Темный замок,Подземелье карт,Мир теней,Темный мир библиотеки,Крис и Сьюзи попали туда через шкаф в классе
deltarune,easy,Персонажи,Кто такой Ралсей?,Принц темного мира,Злодей игры,Друг Криса,Учитель в школе,Принц темного мира,Он встречает Криса и Сьюзи и присоединяется к их отряду
deltarune,easy,Геймплей,Что такое Dark Fountain в Deltarune?,Источник тьмы,Магический фонтан,Дверь в другой мир,Оружие злодея,Источник тьмы,Его нужно запечатать чтобы спасти светлый мир
deltarune,easy,Персонажи,Как зовут безумного шута из тюрьмы темного мира?,Джевил,Спэмтон,Санс,Кинг,Джевил,Он говорит что может делать всё что угодно ведь он дьявол
deltarune,easy,Персонажи,Как зовут маму Криса?,Ториэль,Андайн,Альфис,Ундина,Ториэль,Она работает учителем в той же школе где учится Крис
deltarune,easy,Мир игры,Как называется город в светлом мире где живет Крис?,Hometown,Snowdin,Hotland,Waterfall,Hometown,В этом городе есть школа магазин и дом семьи Дремурр
deltarune,easy,Персонажи,Кем является Лансер в первой главе?,Сыном Кинга,Другом Ралсея,Стражем темного мира,Торговцем,Сыном Кинга,Он ездит на велосипеде и поначалу пытается навредить героям
deltarune,easy,Геймплей,Что такое TP в Deltarune?,Tension Points для специальных атак,Total Power,Team Points,Tactical Power,Tension Points для специальных атак,Эти очки накапливаются во время боя и тратятся на особые умения
deltarune,easy,Персонажи,Кто такая Ноэль в Deltarune?,Одноклассница Криса,Принцесса темного мира,Учительница,Торговец,Одноклассница Криса,Она застенчивая девочка-олень которая присоединяется к команде во второй главе
deltarune,easy,Мир игры,Через что Крис и Сьюзи попали в темный мир в первой главе?,Через шкаф в классе,Через зеркало,Через книгу,Через дверь в подвале,Через шкаф в классе,Они пошли за мелом для учителя и оказались затянуты внутрь
deltarune,easy,Персонажи,Как зовут учителя в классе Криса?,Мистер Дремурр,Мисс Торн,Мистер Пайн,Профессор Карс,Мистер Дремурр,Он попросил Криса принести мел из кладовки
deltarune,easy,Геймплей,Что происходит в конце каждой главы Deltarune?,Крис запечатывает Dark Fountain кристаллом,Герои побеждают злодея,Крис просыпается,Открывается новый мир,Крис запечатывает Dark Fountain кристаллом,Это действие возвращает всех в светлый мир
deltarune,easy,Персонажи,Где живет Крис в начале игры?,В доме с Ториэль,В замке,В школе,В темном мире,В доме с Ториэль,Папа Криса — Асгор — живет отдельно
deltarune,easy,Мир игры,Кто правит темным миром в первой главе?,Кинг,Ралсей,Джевил,Королева,Кинг,Он является главным злодеем первой главы и отцом Лансера
deltarune,easy,Персонажи,Что особенного в Сьюзи среди жителей Hometown?,Все её боятся из-за агрессивного поведения,Она невидима,Она самая умная,Она богатая,Все её боятся из-за агрессивного поведения,Крис единственный кто не убегает от неё в школе
deltarune,easy,Геймплей,Что такое SOUL MODE в битвах Deltarune?,Режим уклонения от атак врага,Режим усиленной атаки,Режим защиты,Режим магии,Режим уклонения от атак врага,В этом режиме нужно двигать сердечко чтобы избежать снарядов
deltarune,easy,Персонажи,Как зовут папу Криса?,Асгор,Санс,Папирус,Гастер,Асгор,Он живет отдельно от Криса и Ториэль и держит цветочный магазин
deltarune,easy,Мир игры,Какой предмет является оружием Сьюзи в Deltarune?,Огромный топор,Меч,Копьё,Молот,Огромный топор,Она использует его как основное оружие в битвах темного мира
deltarune,medium,Персонажи,Кем является Спэмтон в прошлом?,Неудачливым продавцом,Королевским стражем,Учёным,Принцем,Неудачливым продавцом,Когда-то он был успешным но потом всё пошло не так после таинственного звонка
deltarune,medium,Секреты,Что делает Крис ночью в конце каждой главы?,Вырывает кристалл из груди и создает Dark Fountain,Идет спать,Звонит другу,Играет в игры,Вырывает кристалл из груди и создает Dark Fountain,Игрок не контролирует Криса в этот момент
deltarune,medium,Персонажи,Кто такой Бердли в Deltarune?,Одноклассник Криса который хвастается своей умностью,Торговец в темном мире,Союзник Кинга,Принц,Одноклассник Криса который хвастается своей умностью,Он птицеподобный персонаж который во второй главе попадает в темный мир
deltarune,medium,Мир игры,Как называется темный мир во второй главе Deltarune?,Темный мир компьютерного класса,Темный мир библиотеки,Темный замок,Цифровой мир,Темный мир компьютерного класса,Крис Ноэль и Бердли попали туда через старый компьютер
deltarune,medium,Персонажи,Кто является главным злодеем второй главы Deltarune?,Королева,Кинг,Спэмтон NEO,Джевил,Королева,Она правит темным миром второй главы и обожает технологии
deltarune,medium,Геймплей,Что такое Pacifist Route в Deltarune и чем она отличается от Undertale?,В Deltarune нельзя убивать врагов в принципе по сюжету,Нужно не убивать никого,Нужно подружиться со всеми,Нужно пройти без боёв,В Deltarune нельзя убивать врагов в принципе по сюжету,Разработчики убрали механику убийства чтобы подчеркнуть идею игры
deltarune,medium,Персонажи,Что происходит с Ноэль во время битвы с Бердли в маршруте Snowgrave?,Она замораживает его по приказу игрока,Она убегает,Она помогает ему,Она плачет,Она замораживает его по приказу игрока,Это самый тёмный момент во второй главе Deltarune
deltarune,medium,Мир игры,Что такое Snowgrave Route в Deltarune?,Тёмный маршрут второй главы аналог геноцида,Секретный уровень,Альтернативная концовка,Дополнительный босс,Тёмный маршрут второй главы аналог геноцида,В этом маршруте нужно заставить Ноэль делать ужасные вещи
deltarune,medium,Персонажи,Что такое Spamton G. Spamton?,Маленький торговец в темном мире второй главы,Босс первой главы,Союзник героев,Правитель темного мира,Маленький торговец в темном мире второй главы,Он продаёт товары и говорит цитатами из спам-рекламы
deltarune,medium,Геймплей,Как работает система Chapter в Deltarune?,Игра выходит по главам отдельными обновлениями,Все главы доступны сразу,Главы открываются за достижения,Каждая глава это отдельная игра,Игра выходит по главам отдельными обновлениями,Первые две главы вышли в 2018 и 2021 годах соответственно
deltarune,medium,Персонажи,Кто такой Санс в мире Deltarune?,Владелец магазина в Hometown,Школьный учитель,Полицейский,Мэр города,Владелец магазина в Hometown,Он узнает Криса и дает ему советы
deltarune,medium,Мир игры,Что случается со светлым миром пока герои в темном мире?,Время там останавливается,Мир продолжает жить,Мир исчезает,Все жители засыпают,Время там останавливается,Именно поэтому никто не замечает долгого отсутствия Криса
deltarune,medium,Персонажи,Что особенного в Крисе как в игровом протагонисте?,Игрок управляет им против его воли,Он немой,Он злодей,Он робот,Игрок управляет им против его воли,Крис осознаёт присутствие игрока и не всегда с этим согласен
deltarune,medium,Геймплей,Как можно использовать TP очки в бою?,На спец атаки и лечение союзников,Только на атаку,Только на защиту,Нельзя тратить вручную,На спец атаки и лечение союзников,Каждый персонаж имеет уникальные способности требующие TP
deltarune,medium,Персонажи,Что происходит с Ралсеем в конце первой главы?,Он остаётся в темном мире чтобы помочь Лансеру,Он уходит с героями,Он становится злодеем,Он исчезает,Он остаётся в темном мире чтобы помочь Лансеру,Он решает остаться другом Лансера несмотря на опасность
deltarune,medium,Мир игры,Что представляют собой жители темного мира?,Ожившие предметы и карточные персонажи из светлого мира,Монстры из другого измерения,Копии жителей Hometown,Духи темноты,Ожившие предметы и карточные персонажи из светлого мира,В темном мире первой главы всё основано на карточных играх и настолках
deltarune,medium,Персонажи,Что известно о характере Сьюзи в начале игры?,Она агрессивна и запугивает других учеников,Она добрая и приветливая,Она умная отличница,Она тихая и замкнутая,Она агрессивна и запугивает других учеников,Именно это делает её дружбу с Крисом такой неожиданной
deltarune,medium,Геймплей,Что такое Mercy в системе боя Deltarune?,Возможность пощадить врага как в Undertale,Специальная атака,Защитная стойка,Лечебное заклинание,Возможность пощадить врага как в Undertale,Система работает похожим образом на Undertale но с командными элементами
deltarune,medium,Мир игры,Откуда берутся Dark Fountains в мире Deltarune?,Их создаёт некий таинственный персонаж в темноте,Они существуют сами по себе,Их создают злодеи,Они появляются случайно,Их создаёт некий таинственный персонаж в темноте,Крис вырывает кристалл и создаёт новый источник в конце каждой главы
deltarune,hard,Секреты,Что означает анаграмма DELTARUNE?,UNDERTALE,DARK WORLD,TRUE NAME,ALTERNATE,UNDERTALE,Буквы названия игры можно переставить чтобы получить название другой игры Тоби Фокса
deltarune,hard,Секреты,Что происходит если победить Спэмтона NEO в скрытой битве?,Получаем секретную концовку главы 2,Открывается новый уровень,Получаем редкий предмет,Ничего особенного,Получаем секретную концовку главы 2,Эта битва доступна только через особый путь в Queen's Mansion
deltarune,hard,Теории,Чьим голосом говорит игрок согласно лору Deltarune?,Голосом с небес — отдельной сущности,Голосом Криса,Голосом Ралсея,Голосом Гастера,Голосом с небес — отдельной сущности,В начале игры тебя спрашивают имя но Крис его игнорирует
deltarune,hard,Персонажи,Что Джевил имеет в виду говоря I can do ANYTHING?,Он познал истину о природе мира как игры,Он просто сумасшедший,Он получил магическую силу,Он стал бессмертным,Он познал истину о природе мира как игры,Он был заперт после того как узнал нечто что сломало его рассудок
deltarune,hard,Секреты,Что скрывается за дверью в комнате Криса которую нельзя открыть?,Это до сих пор неизвестно,Темный мир,Комната Гастера,Другое измерение,Это до сих пор неизвестно,Тоби Фокс намеренно оставил эту тайну для будущих глав игры
deltarune,hard,Теории,Как связаны миры Undertale и Deltarune согласно теориям фанатов?,Deltarune это альтернативный мир Undertale с теми же персонажами,Это продолжение Undertale,Это приквел,Они никак не связаны,Deltarune это альтернативный мир Undertale с теми же персонажами,Тоби Фокс подтвердил что это не сиквел и не приквел
deltarune,hard,Секреты,Что такое Weird Route и чем он отличается от обычного прохождения?,Тёмное прохождение где игрок манипулирует Ноэль для совершения ужасных действий,Секретный маршрут с новыми боссами,Альтернативная концовка,Спидран маршрут,Тёмное прохождение где игрок манипулирует Ноэль для совершения ужасных действий,Он также известен как Snowgrave Route по названию атаки которой Ноэль замораживает врагов
deltarune,hard,Персонажи,Кто такой Mysterious Figure который упоминается в связи с событиями Deltarune?,Предположительно W.D. Gaster манипулирующий событиями из-за кулис,Новый злодей,Альтер эго Криса,Неизвестный монстр,Предположительно W.D. Gaster манипулирующий событиями из-за кулис,Некоторые NPC в игре появляются и исчезают странным образом намекая на его присутствие
deltarune,hard,Мир игры,Что означает теория о том что выборы игрока в Deltarune не имеют значения?,Тоби Фокс намеренно создал игру где все концовки ведут к одному результату,Игра сломана,Это баг,Это просто слух,Тоби Фокс намеренно создал игру где все концовки ведут к одному результату,В начале игры голос прямо говорит что выборы не важны — и это правда геймплейно
deltarune,hard,Секреты,Как получить доступ к секретной битве со Спэмтоном NEO?,Выбрать маршрут одиночки во второй главе и найти скрытый лифт,Пройти игру без смертей,Победить всех врагов,Найти скрытую дверь,Выбрать маршрут одиночки во второй главе и найти скрытый лифт,Нужно отправить союзников в другое место и пройти особый путь одному
deltarune,hard,Теории,Что символизирует кристалл который Крис вырывает из груди в конце главы?,Контроль игрока над Крисом — Крис избавляется от власти игрока,Магический артефакт,Его душу,Источник его силы,Контроль игрока над Крисом — Крис избавляется от власти игрока,Это метафора борьбы персонажа за свободу от воли игрока
deltarune,hard,Персонажи,Что известно о прошлом Спэмтона до его падения?,Он был успешным рекламным агентом пока таинственный звонок не изменил его жизнь,Он был королём,Он был учёным,Он был стражем,Он был успешным рекламным агентом пока таинственный звонок не изменил его жизнь,Другие NPC в темном мире вспоминают его прежним совершенно другим
deltarune,hard,Мир игры,Почему жители светлого мира не помнят события темного мира?,Их воспоминания стираются когда они возвращаются из темного мира,Они никогда туда не попадают,Это намеренная защитная магия,Тоби Фокс не объяснил это,Их воспоминания стираются когда они возвращаются из темного мира,Только Крис помнит всё что происходит в темном мире
deltarune,hard,Секреты,Что произошло с Ралсеем после событий первой главы согласно второй главе?,Он управляет своим собственным кафе в темном мире,Он исчез,Он стал злодеем,Он вернулся в светлый мир,Он управляет своим собственным кафе в темном мире,Можно навестить его во второй главе если знать где искать
deltarune,hard,Теории,Что означает сцена после титров в конце второй главы?,Гастер наблюдает за событиями и является их организатором,Это случайная сцена,Это реклама третьей главы,Это ошибка,Гастер наблюдает за событиями и является их организатором,Таинственный силуэт в этой сцене очень напоминает описание Гастера
deltarune,hard,Персонажи,Чем отличается Санс в Deltarune от Санса в Undertale по своей роли?,В Deltarune он обычный житель а не страж и не знает о временных петлях,Он злодей,Он мертв,Он стал королём,В Deltarune он обычный житель а не страж и не знает о временных петлях,Хотя он узнаёт Криса и намекает на что-то большее чем кажется
deltarune,hard,Секреты,Что такое файл SURVEY_PROGRAM в Deltarune?,Скрытая программа которую запускает игра для сбора данных об игроке,Внутриигровой предмет,Название секретного уровня,Псевдоним Гастера,Скрытая программа которую запускает игра для сбора данных об игроке,Это реальный файл который Deltarune запускает на компьютере игрока при первом запуске
deltarune,hard,Мир игры,Почему в начале Deltarune игрок создаёт персонажа которого потом выбрасывают?,Чтобы показать что выборы игрока не имеют значения — главный герой уже определён,Это баг разработчиков,Это туториал,Это для мультиплеера,Чтобы показать что выборы игрока не имеют значения — главный герой уже определён,Голос прямо говорит что твой персонаж не нужен и отправляет его в мусор
deltarune,hard,Теории,Почему Крис вырывает кристалл в конце каждой главы если это вредит светлому миру?,Он действует под чьим-то влиянием или по собственному плану о котором мы не знаем,Он хочет разрушить мир,Это случайность,Его заставляет игрок,Он действует под чьим-то влиянием или по собственному плану о котором мы не знаем,Это главная загадка Deltarune которая пока не раскрыта
